Director
Susanne Bier
James Burrows
Ken Girotti
Vince Gilligan
Eagle Egilsson
Jay Oliva
Nathan Hope
Douglas Mackinnon
Johnny Tesoro
Raoul Walsh
Mervyn LeRoy
Satyajit Ray
James Foley
Josh Oreck
Dominic Polcino
Susie Dietter
Ken Whittingham
Steve Boyum
Mairzee Almas
Uta Briesewitz
Todd Biermann
Jamie Babbit
Ciaran Donnelly
Wendey Stanzler
John Huston
Robert Wise
Federico Fellini
Sidney Lumet
Ridley Scott
Tim Burton
Joel Coen
Tom Clegg
James Hawes
Gregg Vanzo
Peter Avanzino
Greg Daniels
Steven Dean Moore
Ethan Spaulding
Jon Cassar
Jesse Bochco
Richard Speight Jr.
Sam Levinson
Saul Ruiz
Benjamin Caron
Peter Hoar
Larry Teng
Ernst Lubitsch
Luchino Visconti
Elia Kazan
Quentin Tarantino
Robert B. Weide
James L. Conway
Graeme Harper
Roy Allen Smith
Ken Kwapis
Nick Gomez
Jeffrey Lynch
Daniel Minahan
John Patterson
Eric Stough
James Strong
Anthony Hemingway
Phil Churchward
Helen Shaver
Terry McDonough
Craig Zisk
Ken Olin
Anthony Byrne
Michael Schur
Breck Eisner
Jeremy Webb
Silver Tree
Stefan Schwartz
Steve Saint Leger
Deborah Chow
Jeffrey G. Hunt
Sam Miller
Alfonso Gomez-Rejon
T.J. Scott
Zal Batmanglij
Thor Freudenthal
Fred Zinnemann
Frank Capra
David Lean
Roman Polanski
Michael Apted
John Badham
Ethan Coen
Jim Jarmusch
Pedro Almodóvar
Wes Anderson
Bob Anderson
Anurag Kashyap
Marc Daniels
Jay Chandrasekhar
Lauren MacMullan
David Livingston
Jonathan Frakes
Rob Bailey
Hiroyuki Tanaka
Michael McDonald
Jennifer Lynch
Alrick Riley
Kenji Nagasaki
Laura Belsey
Damon Thomas
Jesús Colmenar
Lee Toland Krieger
Michael Morris
Johan Renck
Houman Seyyedi
Toby Haynes
Mike White
Christopher Berkeley
Michael Slovis
Anucha Boonyawatana
Steven Levitan
Ian Graham
Kenneth Fink
Nick Copus
P.J. Pesce
Harry Bradbeer
Jean Renoir
George Stevens
Clyde Geronimi
Joseph L. Mankiewicz
Joseph Pevney
Wolfgang Reitherman
Ken Loach
Robert Altman
Rainer Werner Fassbinder
Aki Kaurismäki
Peter Jackson
Kartal Tibet
Keith Arem
Allan Kroeker
Neil Marshall
Michael Lange
Charles McDougall
Mike B. Anderson
Chris Carter
Chris Long
Seith Mann
Brian Kirk
Glenn Kershaw
Scott Frank
Jon Hurwitz
Hayden Schlossberg
Alec Berg
Craig Zobel
Douglas Aarniokoski
Ben Taylor
Rob Hardy
Troy Miller
Ryan Murphy
S.J. Clarkson
Adam Arkin
Anthony Rich
Ralph Hemecker
Ki Hyun Ryu
John Aoshima
Joe Pitt
Colin Heck
Anton Cropper
Stefan Pleszczynski
Tim Mielants
Louis Shaw Milito
Shingo Natsume
William A. Wellman
Wilfred Jackson
Michael Powell
Vittorio De Sica
Vincente Minnelli
Robert Bresson
Stanley Kubrick
Mike Leigh
Woody Allen
Hayao Miyazaki
Robert Zemeckis
Robert Harmon
Oliver Stone
S. Shankar
Lilly Wachowski
Christopher Nolan
Hideo Kojima
Jeffrey Blitz
S.S. Rajamouli
Hiroyuki Imaishi
Sergio Mimica-Gezzan
Swinton O. Scott III
Peter Bonerz
Chris Koch
Victor Nelli Jr.
Mike Rohl
Milan Cheylov
Anna Foerster
Edward Bazalgette
Linda Mendoza
Loni Peristere
Jamie Childs
Hwang Dong-hyuk
Nathaniel Villanueva
David Boyd
Seong-Hu Park
John Scott
Taylor Sheridan
Hanelle M. Culpepper
Michael Trim
Rob Schrab
Tomohisa Taguchi
Peter Weller
Bosco Ng
Jay Karas
Danny Cannon
Antonio Negret
JC Gonzalez
Jason Hehir
Gabriele Pennacchioli
Sam Wood
Kenji Mizoguchi
Hamilton Luske
John Brahm
Michelangelo Antonioni
Louis Malle
Claude Chabrol
Blake Edwards
Werner Herzog
Wim Wenders
Ron Howard
Spike Lee
Agnieszka Holland
Ang Lee
Danny Boyle
Kore-eda Hirokazu
Bryan Singer
Paul Thomas Anderson
Andrew Grieve
Juan José Campanella
Kevin Macdonald
Philip Martin
Brad Turner
Michael Gershman
Scott Brazil
David Schwimmer
Ben Weiss
Ron Hughart
Nelson McCormick
Scott Winant
Greg Beeman
Seth Gordon
Garry A. Brown
Akiva Goldsman
Kate Herron
Jennifer Celotta
Claire Scanlon
Jennifer Yuh Nelson
Matthew Weiner
Miroslav Terzic
Sam Deats
Colin Bucksey
Andy Goddard
David Frazee
Priyanka Ghose
Yasuhiro Irie
Jon East
Michael Hurst
Vinton Heuck
Ryû Nakayama
Stephen Sandoval
David Slade
Nick Hurran
Michael Chang
Michael Smith
Colm McCarthy
Richie Keen
Guillermo Navarro
Heath Cullens
Nathan Litz
Nina Lopez-Corrado
Josef von Sternberg
Robert Siodmak
Edmund Goulding
W.S. Van Dyke
Martin Ritt
Mario Monicelli
Sam Peckinpah
Milos Forman
Atif Yilmaz
Francis Ford Coppola
Jeannot Szwarc
Bertrand Tavernier
Brian De Palma
Peter Weir
Emir Kusturica
James Cameron
John Woo
Clint Eastwood
Giuseppe Tornatore
Michael Haneke
Richard Linklater
Robert Rodriguez
Priyadarshan
Tom Tykwer
Guy Ritchie
Hideaki Anno
Yoshiyuki Takei
Gautham Vasudev Menon
Tom Shankland
Nicole Kassell
Andrea Arnold
Taika Waititi
Rian Johnson
Jon Burton
Bruce Seth Green
Brian Sheesley
Carlos Baeza
Eric Laneuville
Aaron Springer
R.W. Goodwin
Roxann Dawson
David Platt
John Carney
Sylvain White
Amanda Marsalis
Shintaro Itoga
Amyn Kaderali
Jet Wilkinson
Ed Fraiman
Maja Vrvilo
Aaron Long
